index,elevation,wind_direction,wind_speed,energy_release_component,burn_index,precipitation,tempature_min,tempature_max,drought_index,vegetation,population_density,fire_mask_0_0,fire_mask_0_1,fire_mask_0_2,fire_mask_1_0,fire_mask_1_1,fire_mask_1_2,fire_mask_2_0,fire_mask_2_1,fire_mask_2_2,fire_mask_next_day
0,1710.111111111111,303.1751655555556,1.9956208666666666,51.08456833333334,34.686340333333334,0.0,268.2465511111111,286.5286222222222,-2.021302388888889,1650.4444444444443,0.08333115722222223,False,False,False,False,False,False,False,False,False,False
1,1892.4444444444443,297.8161666666667,1.9953805999999998,54.41295377777778,37.19446944444445,0.0,268.1907922222222,285.69395444444444,-2.1829180777777784,2199.777777777778,0.0,False,False,False,False,False,False,False,False,False,False
2,1712.5555555555557,304.36533222222226,1.8930721999999998,50.100931,33.73222488888889,0.0,267.0874044444445,285.86377,-2.6717267,2361.1111111111113,26.737004444444448,False,False,False,False,False,False,False,False,False,False
3,1819.0,295.25818111111107,1.9974054666666667,50.59213644444444,34.775117333333334,0.0,267.73284,285.78327777777776,-2.649807788888889,2698.1111111111113,240.49687,False,False,False,False,False,False,False,False,False,False
4,1932.111111111111,287.10063111111117,1.9945647777777775,49.04951333333333,33.94877411111111,0.0,266.81036,285.1535533333333,-3.0243595333333335,3348.6666666666665,16.89795488888889,False,False,False,False,False,False,False,False,False,False
5,1411.4444444444443,241.05085666666668,5.3999999999999995,61.51997055555556,67.52019722222222,0.0,276.5155277777778,299.53317999999996,-1.5813411666666666,1848.7777777777778,0.16031120599999998,False,False,False,False,False,False,False,False,False,False
6,1421.2222222222222,240.90375,5.3987251222222215,62.44884399999998,68.419141,0.0,276.56496,299.58051666666665,-1.8014992,1957.7777777777778,0.0,False,False,False,False,False,False,False,False,False,False
7,1322.111111111111,240.88402111111114,5.311951922222223,59.87444333333334,64.994345,0.0,277.2291922222223,300.25422444444445,-1.4144874777777778,2371.5555555555557,0.0,False,False,False,False,False,False,False,False,False,False
8,1386.888888888889,240.9975011111111,5.2868703,62.13908044444444,67.01955022222222,0.0,276.5829855555555,299.96344666666664,-1.8673818888888891,1866.4444444444443,0.6954525738777778,False,False,False,False,False,False,False,False,False,False
9,1207.4444444444443,240.0681311111111,5.194160033333334,58.088071,62.085150444444444,0.0,277.0830433333333,300.7162122222223,-1.4162776555555556,1890.888888888889,0.002543923777777778,False,False,False,False,False,False,False,False,False,False
10,1173.0,235.27799555555555,4.912743222222222,57.01549288888889,59.10119355555556,0.0,276.96609555555557,300.8868755555555,-1.3170282444444446,2999.0,1.2579400226666668,False,False,False,False,False,False,False,False,False,True
11,1162.888888888889,234.9821488888889,4.871910977777777,57.210084333333334,59.31769111111112,0.0,276.9597577777778,300.9517777777778,-1.3280838444444443,3307.222222222222,2.7074451666666666,False,False,False,False,False,False,False,False,False,False
12,1277.3333333333333,241.0,5.0971503444444455,66.32798055555556,70.22189333333331,0.0,275.7030577777778,300.7089966666667,-1.877310211111111,1557.5555555555557,0.047920691777777774,False,False,False,False,False,False,False,False,False,False
13,1285.3333333333333,241.0,5.094375677777777,66.51983611111112,69.88942277777778,0.0,275.74522111111105,300.6325177777778,-1.8468129333333332,1613.7777777777778,0.0656826088888889,False,False,False,False,False,False,False,False,False,False
14,1273.2222222222222,241.10242555555553,5.103793666666667,66.48898333333334,70.20801555555555,0.0,275.8097533333333,300.68794999999994,-1.8900694444444446,1918.0,0.07658069755555556,False,False,False,False,False,False,False,False,False,False
